,Vx,Vy,H,B,,,,,Constants,
,(V),(V),,,,,,,Mew_0 ,1.26E-06
,,,,,,,,,np,400
0,-1.186946,-0.06311516,-5.47E+03,-1.16E-01,,,,,Rs,9929.5
0.05,-1.265994,-0.1104823,-5.83E+03,-2.03E-01,,,,,C,4.83E-07
0.1,-1.345042,-0.1420399,-6.20E+03,-2.61E-01,,,,,Rp,2
0.15,-1.42409,-0.189407,-6.56E+03,-3.47E-01,,,,,Lp,4.34E-02
0.19999999,-1.503445,-0.2367126,-6.93E+03,-4.34E-01,,,,,As,5.23E-06
0.24999999,-1.503445,-0.2683317,-6.93E+03,-4.92E-01,,,,,ns,5.00E+02
0.29999999,-1.582493,-0.3156373,-7.29E+03,-5.79E-01,,,,,,
0.34999999,-1.66154,-0.3472564,-7.66E+03,-6.37E-01,,,,,,
0.39999999,-1.740896,-0.394562,-8.02E+03,-7.24E-01,,,,,,
0.44999999,-1.819943,-0.4261811,-8.39E+03,-7.82E-01,,,,,,
0.49999999,-1.819943,-0.4734867,-8.39E+03,-8.68E-01,,,,,,
0.54999999,-1.898991,-0.5208539,-8.75E+03,-9.55E-01,,,,,,
0.59999998,-1.978039,-0.5524114,-9.12E+03,-1.01E+00,,,,,,
0.64999998,-2.057394,-0.583969,-9.48E+03,-1.07E+00,,,,,,
0.69999998,-2.136442,-0.6313361,-9.85E+03,-1.16E+00,,,,,,
0.74999998,-2.136442,-0.6628937,-9.85E+03,-1.22E+00,,,,,,
0.79999998,-2.21549,-0.7102608,-1.02E+04,-1.30E+00,,,,,,
0.84999998,-2.294538,-0.7418184,-1.06E+04,-1.36E+00,,,,,,
0.89999998,-2.373893,-0.7891855,-1.09E+04,-1.45E+00,,,,,,
0.94999998,-2.45294,-0.8207431,-1.13E+04,-1.51E+00,,,,,,
0.99999997,-2.531988,-0.8523622,-1.17E+04,-1.56E+00,,,,,,
1.04999997,-2.611344,-0.8996678,-1.20E+04,-1.65E+00,,,,,,
1.09999997,-2.690391,-0.9312869,-1.24E+04,-1.71E+00,,,,,,
1.14999997,-2.690391,-0.9785925,-1.24E+04,-1.79E+00,,,,,,
1.19999997,-2.769439,-1.010212,-1.28E+04,-1.85E+00,,,,,,
1.24999997,-2.848487,-1.041769,-1.31E+04,-1.91E+00,,,,,,
1.29999997,-2.927842,-1.073327,-1.35E+04,-1.97E+00,,,,,,
1.34999997,-2.927842,-1.120694,-1.35E+04,-2.06E+00,,,,,,
1.39999996,-3.00689,-1.152251,-1.39E+04,-2.11E+00,,,,,,
1.44999996,-3.085938,-1.183809,-1.42E+04,-2.17E+00,,,,,,
1.49999996,-3.164985,-1.215367,-1.46E+04,-2.23E+00,,,,,,
1.54999996,-3.164985,-1.262734,-1.46E+04,-2.32E+00,,,,,,
1.59999996,-3.24434,-1.294291,-1.50E+04,-2.37E+00,,,,,,
1.64999996,-3.323388,-1.325849,-1.53E+04,-2.43E+00,,,,,,
1.69999996,-3.402436,-1.341659,-1.57E+04,-2.46E+00,,,,,,
1.74999996,-3.481791,-1.389026,-1.60E+04,-2.55E+00,,,,,,
1.79999995,-3.560839,-1.404774,-1.64E+04,-2.58E+00,,,,,,
1.84999995,-3.718935,-1.436393,-1.71E+04,-2.63E+00,,,,,,
1.89999995,-3.718935,-1.452141,-1.71E+04,-2.66E+00,,,,,,
1.94999995,-3.79829,-1.483698,-1.75E+04,-2.72E+00,,,,,,
1.99999995,-3.877337,-1.499508,-1.79E+04,-2.75E+00,,,,,,
2.04999995,-4.035433,-1.515317,-1.86E+04,-2.78E+00,,,,,,
2.09999995,-4.114789,-1.531065,-1.90E+04,-2.81E+00,,,,,,
2.14999995,-4.193836,-1.531065,-1.93E+04,-2.81E+00,,,,,,
2.19999994,-4.272884,-1.546875,-1.97E+04,-2.84E+00,,,,,,
2.24999994,-4.352239,-1.562623,-2.01E+04,-2.87E+00,,,,,,
2.29999994,-4.431287,-1.562623,-2.04E+04,-2.87E+00,,,,,,
2.34999994,-4.510335,-1.578433,-2.08E+04,-2.89E+00,,,,,,
2.39999994,-4.589382,-1.578433,-2.11E+04,-2.89E+00,,,,,,
2.44999994,-4.668737,-1.594181,-2.15E+04,-2.92E+00,,,,,,
2.49999994,-4.668737,-1.594181,-2.15E+04,-2.92E+00,,,,,,
2.54999994,-4.826833,-1.594181,-2.22E+04,-2.92E+00,,,,,,
2.59999993,-4.826833,-1.594181,-2.22E+04,-2.92E+00,,,,,,
2.64999993,-4.905881,-1.60999,-2.26E+04,-2.95E+00,,,,,,
2.69999993,-4.985236,-1.60999,-2.30E+04,-2.95E+00,,,,,,
2.74999993,-4.985236,-1.60999,-2.30E+04,-2.95E+00,,,,,,
2.79999993,-5.064284,-1.60999,-2.33E+04,-2.95E+00,,,,,,
2.84999993,-5.064284,-1.6258,-2.33E+04,-2.98E+00,,,,,,
2.89999993,-5.064284,-1.6258,-2.33E+04,-2.98E+00,,,,,,
2.94999993,-5.143332,-1.6258,-2.37E+04,-2.98E+00,,,,,,
2.99999992,-5.143332,-1.6258,-2.37E+04,-2.98E+00,,,,,,
3.04999992,-5.143332,-1.6258,-2.37E+04,-2.98E+00,,,,,,
3.09999992,-5.143332,-1.6258,-2.37E+04,-2.98E+00,,,,,,
3.14999992,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
3.19999992,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
3.24999992,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
3.29999992,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
3.34999992,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
3.39999991,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
3.44999991,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
3.49999991,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
3.54999991,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
3.59999991,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
3.64999991,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
3.69999991,-5.301735,-1.641548,-2.44E+04,-3.01E+00,,,,,,
3.74999991,-5.301735,-1.641548,-2.44E+04,-3.01E+00,,,,,,
3.7999999,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
3.8499999,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
3.8999999,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
3.9499999,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
3.9999999,-5.301735,-1.641548,-2.44E+04,-3.01E+00,,,,,,
4.0499999,-5.301735,-1.641548,-2.44E+04,-3.01E+00,,,,,,
4.0999999,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
4.1499999,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
4.19999989,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
4.24999989,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
4.29999989,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
4.34999989,-5.301735,-1.6258,-2.44E+04,-2.98E+00,,,,,,
4.39999989,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
4.44999989,-5.222687,-1.6258,-2.41E+04,-2.98E+00,,,,,,
4.49999989,-5.143332,-1.6258,-2.37E+04,-2.98E+00,,,,,,
4.54999989,-5.143332,-1.6258,-2.37E+04,-2.98E+00,,,,,,
4.59999988,-5.064284,-1.6258,-2.33E+04,-2.98E+00,,,,,,
4.64999988,-5.064284,-1.6258,-2.33E+04,-2.98E+00,,,,,,
4.69999988,-4.985236,-1.60999,-2.30E+04,-2.95E+00,,,,,,
4.74999988,-4.985236,-1.6258,-2.30E+04,-2.98E+00,,,,,,
4.79999988,-4.905881,-1.60999,-2.26E+04,-2.95E+00,,,,,,
4.84999988,-4.826833,-1.60999,-2.22E+04,-2.95E+00,,,,,,
4.89999988,-4.826833,-1.60999,-2.22E+04,-2.95E+00,,,,,,
4.94999987,-4.747786,-1.60999,-2.19E+04,-2.95E+00,,,,,,
4.99999987,-4.747786,-1.594181,-2.19E+04,-2.92E+00,,,,,,
5.04999987,-4.668737,-1.594181,-2.15E+04,-2.92E+00,,,,,,
5.09999987,-4.589382,-1.594181,-2.11E+04,-2.92E+00,,,,,,
5.14999987,-4.589382,-1.594181,-2.11E+04,-2.92E+00,,,,,,
5.19999987,-4.510335,-1.594181,-2.08E+04,-2.92E+00,,,,,,
5.24999987,-4.431287,-1.578433,-2.04E+04,-2.89E+00,,,,,,
5.29999987,-4.431287,-1.578433,-2.04E+04,-2.89E+00,,,,,,
5.34999986,-4.352239,-1.578433,-2.01E+04,-2.89E+00,,,,,,
5.39999986,-4.272884,-1.578433,-1.97E+04,-2.89E+00,,,,,,
5.44999986,-4.193836,-1.578433,-1.93E+04,-2.89E+00,,,,,,
5.49999986,-4.193836,-1.562623,-1.93E+04,-2.87E+00,,,,,,
5.54999986,-4.114789,-1.562623,-1.90E+04,-2.87E+00,,,,,,
5.59999986,-4.035433,-1.562623,-1.86E+04,-2.87E+00,,,,,,
5.64999986,-4.035433,-1.562623,-1.86E+04,-2.87E+00,,,,,,
5.69999986,-3.956385,-1.546875,-1.82E+04,-2.84E+00,,,,,,
5.74999985,-3.877337,-1.546875,-1.79E+04,-2.84E+00,,,,,,
5.79999985,-3.79829,-1.546875,-1.75E+04,-2.84E+00,,,,,,
5.84999985,-3.79829,-1.546875,-1.75E+04,-2.84E+00,,,,,,
5.89999985,-3.718935,-1.531065,-1.71E+04,-2.81E+00,,,,,,
5.94999985,-3.639887,-1.531065,-1.68E+04,-2.81E+00,,,,,,
5.99999985,-3.639887,-1.531065,-1.68E+04,-2.81E+00,,,,,,
6.04999985,-3.560839,-1.531065,-1.64E+04,-2.81E+00,,,,,,
6.09999985,-3.481791,-1.515317,-1.60E+04,-2.78E+00,,,,,,
6.14999984,-3.402436,-1.515317,-1.57E+04,-2.78E+00,,,,,,
6.19999984,-3.402436,-1.515317,-1.57E+04,-2.78E+00,,,,,,
6.24999984,-3.323388,-1.515317,-1.53E+04,-2.78E+00,,,,,,
6.29999984,-3.24434,-1.499508,-1.50E+04,-2.75E+00,,,,,,
6.34999984,-3.24434,-1.499508,-1.50E+04,-2.75E+00,,,,,,
6.39999984,-3.164985,-1.499508,-1.46E+04,-2.75E+00,,,,,,
6.44999984,-3.085938,-1.483698,-1.42E+04,-2.72E+00,,,,,,
6.49999984,-3.00689,-1.483698,-1.39E+04,-2.72E+00,,,,,,
6.54999983,-2.927842,-1.483698,-1.35E+04,-2.72E+00,,,,,,
6.59999983,-2.927842,-1.46795,-1.35E+04,-2.69E+00,,,,,,
6.64999983,-2.848487,-1.46795,-1.31E+04,-2.69E+00,,,,,,
6.69999983,-2.769439,-1.46795,-1.28E+04,-2.69E+00,,,,,,
6.74999983,-2.690391,-1.452141,-1.24E+04,-2.66E+00,,,,,,
6.79999983,-2.611344,-1.452141,-1.20E+04,-2.66E+00,,,,,,
6.84999983,-2.611344,-1.452141,-1.20E+04,-2.66E+00,,,,,,
6.89999983,-2.531988,-1.436393,-1.17E+04,-2.63E+00,,,,,,
6.94999982,-2.45294,-1.436393,-1.13E+04,-2.63E+00,,,,,,
6.99999982,-2.373893,-1.436393,-1.09E+04,-2.63E+00,,,,,,
7.04999982,-2.294538,-1.420583,-1.06E+04,-2.61E+00,,,,,,
7.09999982,-2.294538,-1.420583,-1.06E+04,-2.61E+00,,,,,,
7.14999982,-2.136442,-1.420583,-9.85E+03,-2.61E+00,,,,,,
7.19999982,-2.136442,-1.404774,-9.85E+03,-2.58E+00,,,,,,
7.24999982,-2.057394,-1.389026,-9.48E+03,-2.55E+00,,,,,,
7.29999982,-1.978039,-1.389026,-9.12E+03,-2.55E+00,,,,,,
7.34999981,-1.898991,-1.373216,-8.75E+03,-2.52E+00,,,,,,
